pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
eth_idr,trend_breakout,2018-01-03T00:00:00+00:00,13456000,0.00613496,2018-01-13T00:00:00+00:00,18267000,stop_loss,665.99,28849.31
btc_idr,trend_breakout,2018-02-21T00:00:00+00:00,156879000,0.00027200,2018-03-10T00:00:00+00:00,129222000,stop_loss,266.30,-7789.00
eth_idr,trend_breakout,2018-04-24T00:00:00+00:00,8932000,0.00628535,2018-05-12T00:00:00+00:00,9784000,stop_loss,402.55,4952.57
btc_idr,trend_breakout,2018-04-25T00:00:00+00:00,133059000,0.00055558,2018-05-12T00:00:00+00:00,121750000,stop_loss,484.44,-6767.50
btc_idr,trend_breakout,2018-07-21T00:00:00+00:00,107302000,0.00093194,2018-08-02T00:00:00+00:00,111107000,stop_loss,696.53,2849.50
btc_idr,trend_breakout,2018-09-02T00:00:00+00:00,105105000,0.00095142,2018-09-07T00:00:00+00:00,99083000,stop_loss,664.79,-6394.24
btc_idr,trend_breakout,2018-10-09T00:00:00+00:00,100871000,0.00099136,2018-10-24T00:00:00+00:00,97218000,stop_loss,672.00,-4293.44
eth_idr,trend_breakout,2019-02-23T00:00:00+00:00,2079000,0.03717472,2019-02-25T00:00:00+00:00,1962000,stop_loss,514.06,-4863.51
eth_idr,trend_breakout,2019-04-03T00:00:00+00:00,2312000,0.04325259,2019-04-05T00:00:00+00:00,2220000,stop_loss,670.78,-4650.02
eth_idr,trend_breakout,2019-04-08T00:00:00+00:00,2495000,0.03521126,2019-04-12T00:00:00+00:00,2368000,stop_loss,585.96,-5057.79
btc_idr,trend_breakout,2019-03-30T00:00:00+00:00,58528000,0.00170858,2019-04-26T00:00:00+00:00,75173000,stop_loss,781.72,27657.60
btc_idr,trend_breakout,2019-05-08T00:00:00+00:00,83882000,0.00119215,2019-05-18T00:00:00+00:00,107731000,stop_loss,781.69,27649.89
eth_idr,trend_breakout,2019-05-12T00:00:00+00:00,2773000,0.03606202,2019-05-18T00:00:00+00:00,3519000,stop_loss,776.46,26125.81
btc_idr,trend_breakout,2019-05-27T00:00:00+00:00,124103000,0.00072700,2019-06-05T00:00:00+00:00,116607000,stop_loss,598.84,-6048.43
btc_idr,trend_breakout,2019-06-18T00:00:00+00:00,131630000,0.00075970,2019-06-28T00:00:00+00:00,178241000,stop_loss,805.57,34604.81
eth_idr,trend_breakout,2019-06-22T00:00:00+00:00,4187000,0.02004008,2019-06-28T00:00:00+00:00,4653000,stop_loss,606.22,8732.46
btc_idr,trend_breakout,2019-08-06T00:00:00+00:00,165132000,0.00041951,2019-08-15T00:00:00+00:00,147439000,stop_loss,448.72,-7871.11
eth_idr,trend_breakout,2019-09-20T00:00:00+00:00,3135000,0.02857142,2019-09-25T00:00:00+00:00,2790000,stop_loss,579.30,-10436.44
eth_idr,trend_breakout,2020-01-15T00:00:00+00:00,2226000,0.04255319,2020-02-17T00:00:00+00:00,3468000,stop_loss,829.14,52021.92
btc_idr,trend_breakout,2020-01-09T00:00:00+00:00,112669000,0.00088755,2020-02-18T00:00:00+00:00,132044000,stop_loss,743.24,16453.04
btc_idr,trend_breakout,2020-04-07T00:00:00+00:00,117540000,0.00046217,2020-05-11T00:00:00+00:00,132696000,stop_loss,395.76,6608.89
eth_idr,trend_breakout,2020-04-07T00:00:00+00:00,2769000,0.01650165,2020-05-11T00:00:00+00:00,2927000,stop_loss,321.65,2285.62
eth_idr,trend_breakout,2020-05-29T00:00:00+00:00,3246000,0.02314814,2020-06-16T00:00:00+00:00,3233000,stop_loss,513.22,-814.15
btc_idr,trend_breakout,2020-07-22T00:00:00+00:00,137444000,0.00072756,2020-08-03T00:00:00+00:00,160015000,stop_loss,740.59,15681.17
eth_idr,trend_breakout,2020-07-22T00:00:00+00:00,3593000,0.02783189,2020-08-03T00:00:00+00:00,5129000,stop_loss,830.69,41919.09
eth_idr,trend_breakout,2020-08-14T00:00:00+00:00,6304000,0.01492537,2020-08-22T00:00:00+00:00,5857000,stop_loss,621.12,-7292.76
btc_idr,trend_breakout,2020-08-16T00:00:00+00:00,177390000,0.00056372,2020-08-26T00:00:00+00:00,172229000,stop_loss,674.43,-3583.79
eth_idr,trend_breakout,2020-09-02T00:00:00+00:00,6959000,0.01366120,2020-09-04T00:00:00+00:00,6220000,stop_loss,616.10,-10711.73
btc_idr,trend_breakout,2020-10-11T00:00:00+00:00,164386000,0.00060832,2020-11-08T00:00:00+00:00,209798000,stop_loss,778.93,26846.10
eth_idr,trend_breakout,2020-10-13T00:00:00+00:00,5606000,0.01464128,2020-11-27T00:00:00+00:00,7666000,stop_loss,664.96,29496.08
btc_idr,trend_breakout,2020-11-13T00:00:00+00:00,230366000,0.00043409,2020-11-27T00:00:00+00:00,246074000,stop_loss,707.73,6110.96
btc_idr,trend_breakout,2020-12-01T00:00:00+00:00,274987000,0.00030600,2021-01-05T00:00:00+00:00,432834000,stop_loss,741.18,47560.00
eth_idr,trend_breakout,2020-12-18T00:00:00+00:00,8906000,0.01122838,2021-01-06T00:00:00+00:00,14145000,stop_loss,885.70,57939.78
eth_idr,trend_breakout,2021-01-07T00:00:00+00:00,16837000,0.00368595,2021-01-09T00:00:00+00:00,15134000,stop_loss,403.26,-6680.43
btc_idr,trend_breakout,2021-01-07T00:00:00+00:00,512564000,0.00014493,2021-01-11T00:00:00+00:00,507435000,stop_loss,505.87,-1249.21
eth_idr,trend_breakout,2021-01-20T00:00:00+00:00,19410000,0.00278396,2021-01-23T00:00:00+00:00,15802000,stop_loss,335.45,-10379.98
eth_idr,trend_breakout,2021-02-03T00:00:00+00:00,21086000,0.00221975,2021-02-24T00:00:00+00:00,25052000,stop_loss,350.46,8453.06
