pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
btc_idr,trend_pullback,2026-04-22T10:45:00+00:00,1338329000,0.00007472,2026-04-22T16:00:00+00:00,1359724000,take_profit,589.87,1008.76
sol_idr,trend_pullback,2026-04-22T09:15:00+00:00,1510390,0.06620806,2026-04-23T00:15:00+00:00,1487709,stop_loss,579.26,-2080.93
btc_idr,trend_pullback,2026-04-22T18:00:00+00:00,1354420000,0.00007383,2026-04-23T00:15:00+00:00,1339759000,stop_loss,580.68,-1663.10
eth_idr,trend_pullback,2026-04-22T09:30:00+00:00,40979000,0.00244027,2026-04-23T00:30:00+00:00,40313000,stop_loss,578.84,-2204.06
sol_idr,trend_pullback,2026-04-23T01:00:00+00:00,1496444,0.06682508,2026-04-23T09:15:00+00:00,1474343,stop_loss,579.35,-2056.25
eth_idr,trend_pullback,2026-04-23T01:15:00+00:00,40800000,0.00245098,2026-04-23T09:15:00+00:00,40180000,stop_loss,579.20,-2098.81
btc_idr,trend_pullback,2026-04-23T01:00:00+00:00,1347527000,0.00007421,2026-04-23T17:45:00+00:00,1333688000,stop_loss,580.89,-1607.88
sol_idr,range_reversion,2026-04-23T18:00:00+00:00,1467068,0.06816316,2026-04-23T21:45:00+00:00,1487319,take_profit,589.12,791.25
eth_idr,trend_pullback,2026-04-29T13:15:00+00:00,40088000,0.00249451,2026-04-29T15:45:00+00:00,39579000,stop_loss,580.05,-1849.76
eth_idr,trend_pullback,2026-05-04T07:15:00+00:00,40955000,0.00244170,2026-05-04T10:15:00+00:00,40388000,stop_loss,579.66,-1964.11
sol_idr,trend_pullback,2026-05-04T07:30:00+00:00,1469265,0.06806124,2026-05-04T10:15:00+00:00,1450956,stop_loss,580.14,-1826.27
btc_idr,trend_pullback,2026-05-05T00:30:00+00:00,1385996000,0.00007215,2026-05-05T04:00:00+00:00,1407420000,take_profit,589.69,956.05
sol_idr,trend_pullback,2026-05-05T22:45:00+00:00,1508635,0.06628508,2026-05-06T08:45:00+00:00,1532612,take_profit,589.84,999.48
eth_idr,range_reversion,2026-05-06T19:45:00+00:00,40729000,0.00245525,2026-05-07T01:15:00+00:00,40337000,stop_loss,581.11,-1543.56
sol_idr,trend_pullback,2026-05-06T14:45:00+00:00,1536007,0.06510386,2026-05-07T08:00:00+00:00,1567285,take_profit,591.37,1444.95
sol_idr,trend_pullback,2026-05-07T11:15:00+00:00,1549171,0.06455065,2026-05-07T14:45:00+00:00,1524254,stop_loss,578.90,-2187.30
btc_idr,range_reversion,2026-05-07T15:45:00+00:00,1386715000,0.00007211,2026-05-07T18:00:00+00:00,1388650000,regime_exit,584.85,-445.32
sol_idr,trend_pullback,2026-05-09T00:00:00+00:00,1592802,0.06278244,2026-05-09T04:15:00+00:00,1627586,take_profit,591.87,1591.95
