pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
btc_idr,trend_breakout,2024-01-03T00:00:00+00:00,701555000,0.00014254,2024-01-13T00:00:00+00:00,687268000,stop_loss,677.43,-2713.90
eth_idr,trend_breakout,2024-01-11T00:00:00+00:00,40389000,0.00247592,2024-01-23T00:00:00+00:00,38011000,stop_loss,664.25,-6551.99
sol_idr,trend_breakout,2024-02-11T00:00:00+00:00,1704835,0.03785082,2024-02-24T00:00:00+00:00,1569451,stop_loss,424.10,-5548.50
btc_idr,trend_breakout,2024-02-08T00:00:00+00:00,689986000,0.00014493,2024-03-06T00:00:00+00:00,990196000,stop_loss,833.29,42676.15
eth_idr,trend_breakout,2024-02-13T00:00:00+00:00,41396000,0.00241569,2024-03-06T00:00:00+00:00,52176000,stop_loss,773.51,25267.63
sol_idr,trend_breakout,2024-02-29T00:00:00+00:00,1864257,0.03408432,2024-03-06T00:00:00+00:00,1837458,stop_loss,431.76,-1345.18
btc_idr,trend_breakout,2024-03-12T00:00:00+00:00,1135569000,0.00008806,2024-03-16T00:00:00+00:00,1032601000,stop_loss,653.36,-9720.72
eth_idr,trend_breakout,2024-03-12T00:00:00+00:00,63932000,0.00143245,2024-03-16T00:00:00+00:00,56894000,stop_loss,592.27,-10673.85
sol_idr,trend_breakout,2024-03-08T00:00:00+00:00,2259129,0.02977174,2024-03-20T00:00:00+00:00,2739564,stop_loss,509.26,13794.12
eth_idr,trend_breakout,2024-04-09T00:00:00+00:00,59130000,0.00126470,2024-04-14T00:00:00+00:00,51301000,stop_loss,477.92,-10379.26
btc_idr,trend_breakout,2024-04-09T00:00:00+00:00,1146774000,0.00007965,2024-04-15T00:00:00+00:00,1023327000,stop_loss,591.49,-10424.04
sol_idr,trend_breakout,2024-05-18T00:00:00+00:00,2698712,0.01934030,2024-06-12T00:00:00+00:00,2509981,stop_loss,344.72,-3994.84
