pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
eth_idr,trend_breakout,2020-01-15T00:00:00+00:00,2226000,0.04255319,2020-02-17T00:00:00+00:00,3468000,stop_loss,829.14,52021.92
btc_idr,trend_breakout,2020-01-09T00:00:00+00:00,112669000,0.00088755,2020-02-18T00:00:00+00:00,132044000,stop_loss,743.24,16453.04
btc_idr,trend_breakout,2020-04-07T00:00:00+00:00,117540000,0.00046217,2020-05-11T00:00:00+00:00,132696000,stop_loss,395.76,6608.89
eth_idr,trend_breakout,2020-04-07T00:00:00+00:00,2769000,0.01650165,2020-05-11T00:00:00+00:00,2927000,stop_loss,321.65,2285.62
eth_idr,trend_breakout,2020-05-29T00:00:00+00:00,3246000,0.02314814,2020-06-16T00:00:00+00:00,3233000,stop_loss,513.22,-814.15
btc_idr,trend_breakout,2020-07-22T00:00:00+00:00,137444000,0.00072756,2020-08-03T00:00:00+00:00,160015000,stop_loss,740.59,15681.17
eth_idr,trend_breakout,2020-07-22T00:00:00+00:00,3593000,0.02783189,2020-08-03T00:00:00+00:00,5129000,stop_loss,830.69,41919.09
eth_idr,trend_breakout,2020-08-14T00:00:00+00:00,6304000,0.01492537,2020-08-22T00:00:00+00:00,5857000,stop_loss,621.12,-7292.76
btc_idr,trend_breakout,2020-08-16T00:00:00+00:00,177390000,0.00056372,2020-08-26T00:00:00+00:00,172229000,stop_loss,674.43,-3583.79
eth_idr,trend_breakout,2020-09-02T00:00:00+00:00,6959000,0.01366120,2020-09-04T00:00:00+00:00,6220000,stop_loss,616.10,-10711.73
btc_idr,trend_breakout,2020-10-11T00:00:00+00:00,164386000,0.00060832,2020-11-08T00:00:00+00:00,209798000,stop_loss,778.93,26846.10
eth_idr,trend_breakout,2020-10-13T00:00:00+00:00,5606000,0.01464128,2020-11-27T00:00:00+00:00,7666000,stop_loss,664.96,29496.08
btc_idr,trend_breakout,2020-11-13T00:00:00+00:00,230366000,0.00043409,2020-11-27T00:00:00+00:00,246074000,stop_loss,707.73,6110.96
btc_idr,trend_breakout,2020-12-01T00:00:00+00:00,274987000,0.00030600,2021-01-05T00:00:00+00:00,432834000,stop_loss,741.18,47560.00
eth_idr,trend_breakout,2020-12-18T00:00:00+00:00,8906000,0.01122838,2021-01-06T00:00:00+00:00,14145000,stop_loss,885.70,57939.78
eth_idr,trend_breakout,2021-01-07T00:00:00+00:00,16837000,0.00368595,2021-01-09T00:00:00+00:00,15134000,stop_loss,403.26,-6680.43
btc_idr,trend_breakout,2021-01-07T00:00:00+00:00,512564000,0.00014493,2021-01-11T00:00:00+00:00,507435000,stop_loss,505.87,-1249.21
eth_idr,trend_breakout,2021-01-20T00:00:00+00:00,19410000,0.00278396,2021-01-23T00:00:00+00:00,15802000,stop_loss,335.45,-10379.98
eth_idr,trend_breakout,2021-02-03T00:00:00+00:00,21086000,0.00221975,2021-02-24T00:00:00+00:00,25052000,stop_loss,350.46,8453.06
btc_idr,trend_breakout,2021-02-07T00:00:00+00:00,553252000,0.00012280,2021-02-24T00:00:00+00:00,738025000,stop_loss,542.62,22147.50
btc_idr,trend_breakout,2021-03-14T00:00:00+00:00,883641000,0.00007801,2021-03-26T00:00:00+00:00,761845000,stop_loss,439.26,-9940.57
eth_idr,trend_breakout,2021-04-02T00:00:00+00:00,28355000,0.00247586,2021-04-19T00:00:00+00:00,33202000,stop_loss,521.54,11478.96
btc_idr,trend_breakout,2021-04-06T00:00:00+00:00,870435000,0.00010224,2021-04-19T00:00:00+00:00,859286000,stop_loss,605.17,-1745.04
eth_idr,trend_breakout,2021-04-29T00:00:00+00:00,40470000,0.00150015,2021-05-17T00:00:00+00:00,54580000,stop_loss,487.94,20679.18
btc_idr,trend_breakout,2021-07-31T00:00:00+00:00,609305000,0.00012021,2021-09-08T00:00:00+00:00,680218000,stop_loss,530.46,7994.00
eth_idr,trend_breakout,2021-07-31T00:00:00+00:00,35513000,0.00155038,2021-09-08T00:00:00+00:00,50132000,stop_loss,454.38,22210.62
btc_idr,trend_breakout,2021-10-06T00:00:00+00:00,731839000,0.00011671,2021-11-17T00:00:00+00:00,875954000,stop_loss,642.12,16177.54
eth_idr,trend_breakout,2021-10-15T00:00:00+00:00,53308000,0.00131354,2021-11-17T00:00:00+00:00,60917000,stop_loss,513.43,9481.29
