pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
eth_idr,trend_breakout,2018-01-03T00:00:00+00:00,13456000,0.00613496,2018-01-13T00:00:00+00:00,18267000,stop_loss,665.99,28849.31
btc_idr,trend_breakout,2018-02-21T00:00:00+00:00,156879000,0.00027200,2018-03-10T00:00:00+00:00,129222000,stop_loss,266.30,-7789.00
eth_idr,trend_breakout,2018-04-24T00:00:00+00:00,8932000,0.00628535,2018-05-12T00:00:00+00:00,9784000,stop_loss,402.55,4952.57
btc_idr,trend_breakout,2018-04-25T00:00:00+00:00,133059000,0.00055558,2018-05-12T00:00:00+00:00,121750000,stop_loss,484.44,-6767.50
btc_idr,trend_breakout,2018-07-21T00:00:00+00:00,107302000,0.00093194,2018-08-02T00:00:00+00:00,111107000,stop_loss,696.53,2849.50
btc_idr,trend_breakout,2018-09-02T00:00:00+00:00,105105000,0.00095142,2018-09-07T00:00:00+00:00,99083000,stop_loss,664.79,-6394.24
btc_idr,trend_breakout,2018-10-09T00:00:00+00:00,100871000,0.00099136,2018-10-24T00:00:00+00:00,97218000,stop_loss,672.00,-4293.44
eth_idr,trend_breakout,2019-02-23T00:00:00+00:00,2079000,0.03717472,2019-02-25T00:00:00+00:00,1962000,stop_loss,514.06,-4863.51
eth_idr,trend_breakout,2019-04-03T00:00:00+00:00,2312000,0.04325259,2019-04-05T00:00:00+00:00,2220000,stop_loss,670.78,-4650.02
eth_idr,trend_breakout,2019-04-08T00:00:00+00:00,2495000,0.03521126,2019-04-12T00:00:00+00:00,2368000,stop_loss,585.96,-5057.79
btc_idr,trend_breakout,2019-03-30T00:00:00+00:00,58528000,0.00170858,2019-04-26T00:00:00+00:00,75173000,stop_loss,781.72,27657.60
btc_idr,trend_breakout,2019-05-08T00:00:00+00:00,83882000,0.00119215,2019-05-18T00:00:00+00:00,107731000,stop_loss,781.69,27649.89
eth_idr,trend_breakout,2019-05-12T00:00:00+00:00,2773000,0.03606202,2019-05-18T00:00:00+00:00,3519000,stop_loss,776.46,26125.81
btc_idr,trend_breakout,2019-05-27T00:00:00+00:00,124103000,0.00072700,2019-06-05T00:00:00+00:00,116607000,stop_loss,598.84,-6048.43
btc_idr,trend_breakout,2019-06-18T00:00:00+00:00,131630000,0.00075970,2019-06-28T00:00:00+00:00,178241000,stop_loss,805.57,34604.81
eth_idr,trend_breakout,2019-06-22T00:00:00+00:00,4187000,0.02004008,2019-06-28T00:00:00+00:00,4653000,stop_loss,606.22,8732.46
btc_idr,trend_breakout,2019-08-06T00:00:00+00:00,165132000,0.00041951,2019-08-15T00:00:00+00:00,147439000,stop_loss,448.72,-7871.11
eth_idr,trend_breakout,2019-09-20T00:00:00+00:00,3135000,0.02857142,2019-09-25T00:00:00+00:00,2790000,stop_loss,579.30,-10436.44
